Wall time,Step,Value
1655086233.0932612,0,0.1850000023841858
1655086234.584425,1,0.5042999982833862
1655086236.0020096,2,0.7010999917984009
1655086237.421426,3,0.8877000212669373
1655086238.8380063,4,0.9343000054359436
1655086240.2644024,5,0.9419999718666077
1655086241.6849627,6,0.9573000073432922
1655086243.102591,7,0.9635999798774719
1655086244.5644004,8,0.9768000245094299
1655086245.9818268,9,0.9751999974250793
1655086247.3967214,10,0.9828000068664551
1655086248.814542,11,0.98089998960495
1655086250.2300274,12,0.9879999756813049
1655086251.6717322,13,0.991100013256073
1655086253.1029317,14,0.9932000041007996
1655086254.5497293,15,0.9883000254631042
1655086255.990779,16,0.98089998960495
1655086257.4595835,17,0.9900000095367432
1655086258.9122205,18,0.9907000064849854
1655086260.336062,19,0.9882000088691711
1655086261.7540185,20,0.9932000041007996
1655086263.1965563,21,0.996399998664856
1655086264.6533449,22,0.9962000250816345
1655086266.0659797,23,0.9925000071525574
1655086267.4804838,24,0.9929999709129333
1655086268.898704,25,0.9976000189781189
1655086270.3434362,26,0.9972000122070312
1655086271.8278718,27,0.9955999851226807
1655086273.2444458,28,0.9950000047683716
1655086274.6589994,29,0.9894000291824341
1655086276.0989704,30,0.9932000041007996
1655086277.5185328,31,0.9926000237464905
1655086278.9367728,32,0.9969000220298767
1655086280.4032068,33,0.9987000226974487
1655086281.8201272,34,0.9984999895095825
1655086283.2613556,35,0.9995999932289124
1655086284.746166,36,0.9995999932289124
1655086286.1828053,37,1.0
1655086287.621041,38,1.0
1655086289.0596764,39,1.0
1655086290.496495,40,1.0
1655086291.9354594,41,1.0
1655086293.353614,42,1.0
1655086294.7901623,43,1.0
1655086296.2711966,44,1.0
1655086297.6836054,45,1.0
1655086299.1086674,46,1.0
1655086300.5425622,47,1.0
1655086301.9806683,48,1.0
1655086303.4171822,49,1.0
1655086304.8477395,50,1.0
1655086306.2736516,51,1.0
1655086307.7507596,52,1.0
1655086309.1725628,53,1.0
1655086310.578196,54,1.0
1655086312.0047977,55,1.0
1655086313.4372296,56,1.0
1655086314.9138093,57,1.0
1655086316.3515756,58,1.0
1655086317.763344,59,1.0
1655086319.1648536,60,1.0
1655086320.5936446,61,1.0
1655086322.05003,62,1.0
1655086323.4857714,63,1.0
1655086324.9129999,64,1.0
1655086326.348376,65,1.0
1655086327.7843673,66,1.0
1655086329.2114503,67,1.0
1655086330.6163726,68,1.0
1655086332.0194,69,1.0
1655086333.4374373,70,1.0
1655086334.9121506,71,1.0
1655086336.3479161,72,1.0
1655086337.7756033,73,1.0
1655086339.2104888,74,1.0
1655086340.644464,75,1.0
1655086342.121664,76,1.0
1655086343.5577912,77,1.0
1655086344.9831705,78,1.0
1655086346.395981,79,1.0
1655086347.8319802,80,1.0
1655086349.2541392,81,1.0
1655086350.6902668,82,1.0
1655086352.1648192,83,1.0
1655086353.58246,84,1.0
1655086355.020323,85,1.0
1655086356.4554818,86,1.0
1655086357.8727684,87,1.0
1655086359.3101888,88,1.0
1655086360.7456348,89,1.0
1655086362.1824956,90,1.0
1655086363.6219964,91,1.0
1655086365.0830953,92,1.0
1655086366.486972,93,1.0
1655086367.8902173,94,1.0
1655086369.2975059,95,1.0
1655086370.7005007,96,1.0
1655086372.145222,97,1.0
1655086373.560917,98,1.0
1655086374.9966328,99,1.0
1655086376.4347486,100,1.0
1655086377.8484132,101,1.0
1655086379.2604294,102,1.0
1655086380.6663523,103,1.0
1655086382.0792341,104,1.0
1655086383.5435107,105,1.0
1655086384.9711146,106,1.0
1655086386.4065037,107,1.0
1655086387.8368912,108,1.0
1655086389.258723,109,1.0
1655086390.6969476,110,1.0
1655086392.1300008,111,1.0
1655086393.5422187,112,1.0
1655086395.0011032,113,0.9998999834060669
1655086396.4361045,114,0.9998999834060669
1655086397.8785553,115,0.9994000196456909
1655086399.3612766,116,0.9975000023841858
1655086400.7972825,117,0.996999979019165
1655086402.2339756,118,0.9947999715805054
1655086403.6753678,119,0.9842000007629395
1655086405.1023555,120,0.9898999929428101
1655086406.5109735,121,0.994700014591217
1655086407.9613192,122,0.9954000115394592
1655086409.3768446,123,0.9980000257492065
1655086410.79726,124,0.9968000054359436
1655086412.2337415,125,0.9990000128746033
1655086413.6466467,126,0.9991999864578247
1655086415.0543914,127,0.9970999956130981
1655086416.463791,128,0.9994999766349792
1655086417.8712127,129,0.9998999834060669
1655086419.275198,130,0.9995999932289124
1655086420.7214653,131,1.0
1655086422.137532,132,0.9987999796867371
1655086423.542393,133,0.9994999766349792
1655086424.9510725,134,0.9998000264167786
1655086426.3559446,135,0.9998000264167786
1655086427.8005517,136,0.9998000264167786
1655086429.208169,137,1.0
1655086430.614511,138,1.0
1655086432.048349,139,1.0
1655086433.4649906,140,0.9994999766349792
1655086434.9116971,141,0.9932000041007996
1655086436.3207395,142,0.9976999759674072
1655086437.7356522,143,0.9959999918937683
1655086439.145868,144,0.9979000091552734
1655086440.5551453,145,0.9995999932289124
1655086442.0024402,146,0.9994999766349792
1655086443.4158564,147,0.9998999834060669
1655086444.8258865,148,1.0
1655086446.2308123,149,0.9995999932289124
1655086447.6358335,150,0.9997000098228455
1655086449.0839355,151,0.9995999932289124
1655086450.4911282,152,0.9991000294685364
1655086451.89824,153,1.0
1655086453.3156195,154,1.0
1655086454.7524703,155,0.9997000098228455
1655086456.227872,156,0.9998999834060669
1655086457.6412342,157,0.9994999766349792
1655086459.045138,158,0.9994000196456909
1655086460.4681294,159,0.9994999766349792
1655086461.8852422,160,0.9991999864578247
1655086463.3436513,161,0.9973000288009644
1655086464.7775266,162,0.996999979019165
1655086466.1847925,163,0.9921000003814697
1655086467.5955029,164,0.9948999881744385
1655086469.0055199,165,0.9965000152587891
1655086470.453918,166,0.9991999864578247
1655086471.8615685,167,0.9988999962806702
1655086473.273611,168,0.9986000061035156
1655086474.6881566,169,0.9990000128746033
1655086476.094749,170,0.9994000196456909
1655086477.5411413,171,0.9987999796867371
1655086478.976982,172,0.9973000288009644
1655086480.4409654,173,0.9987999796867371
1655086481.8937361,174,0.9984999895095825
1655086483.3305027,175,0.9995999932289124
1655086484.8019426,176,0.9986000061035156
1655086486.2099204,177,0.9995999932289124
1655086487.6170545,178,0.9994999766349792
1655086489.0427556,179,0.9994000196456909
1655086490.4512906,180,0.9994999766349792
1655086491.8863454,181,0.9997000098228455
1655086493.3230205,182,0.9983999729156494
1655086494.7531836,183,0.9994000196456909
1655086496.1891446,184,0.9987999796867371
1655086497.6413476,185,1.0
1655086499.0497828,186,0.9997000098228455
1655086500.4557207,187,0.9998999834060669
1655086501.862348,188,0.9998999834060669
1655086503.2678502,189,0.9998999834060669
1655086504.7410142,190,1.0
1655086506.1464214,191,1.0
1655086507.5514312,192,1.0
1655086508.9603672,193,1.0
1655086510.4093554,194,1.0
1655086511.8933039,195,1.0
1655086513.31189,196,1.0
1655086514.74653,197,1.0
1655086516.1799319,198,1.0
